Ticker,Sector,Beta_Group,VADER_Lag1_P,FinBERT_Lag1_P,Is_Significant,VADER_Lag2_P,FinBERT_Lag2_P
AEP,Utilities,Low Beta,0.35636054183316246,0.6269257869864007,False,0.10005620980923431,0.6529708529655736
AMP,Financials,High Beta,0.461867857591852,0.005833529540765093,True,0.7845260665473739,0.03333034179083325
APA,Energy,High Beta,0.9881656807188458,0.5788744314735659,False,0.6257326068606015,0.7573754029864833
BA,Industrials,High Beta,0.46204431032454685,0.40821043150212977,False,0.840582963390407,0.8530505025036066
C,Financials,High Beta,0.951302613298803,0.051955160468420664,False,0.950003478919658,0.2162907311601377
CAG,Consumer Staples,Low Beta,0.8498635611812757,0.5643169686441598,False,0.8990688913821007,0.6117775057831845
CCL,Consumer Discretionary,High Beta,0.32058237163005465,0.7298365969854901,False,0.5088278212322404,0.9238866841541303
CHD,Consumer Staples,Low Beta,0.7933319221262786,0.1979994088291891,False,0.9473439833147682,0.3241655584292435
CHRW,Industrials,Low Beta,0.7665716222668726,0.642613112666991,False,0.07320585605206884,0.3423738633142274
CL,Consumer Staples,Low Beta,0.3104359373402582,0.4962047888165244,False,0.19803889591095747,0.3470346841833392
CLX,Consumer Staples,Low Beta,0.7936499216037789,0.06453384046480544,False,0.9652706750918676,0.1730065310544729
CMS,Utilities,Low Beta,0.9441983900955332,0.40402539504913315,False,0.7435367382611553,0.7045108490060945
COF,Financials,High Beta,0.6163685445866711,0.11373864438931133,False,0.8828704429980966,0.44111047187241026
COST,Consumer Staples,Low Beta,0.8729987100099003,0.963266017136809,False,0.9773658894404932,0.7819958302339003
CPB,Consumer Staples,Low Beta,0.7172145070337496,0.8854839505216111,False,0.9249085957847532,0.8732340189785541
CVNA,Consumer Discretionary,High Beta,0.47575862747548625,0.921782688810686,False,0.5284285889012966,0.9814391577247875
DG,Consumer Staples,Low Beta,0.6852211722052144,0.9193925239417099,False,0.5365197866789955,0.9484876415063233
DPZ,Consumer Discretionary,Low Beta,0.9599023125304971,0.6039952915534398,False,0.8603908722407877,0.876570110374268
DVN,Energy,High Beta,0.5518608488606533,0.9682076630138161,False,0.7513559956730002,0.9952415223631991
ED,Utilities,Low Beta,0.5073672849003729,0.07172729743297623,False,0.7760546176283616,0.1790591228252093
EXR,Real Estate,Low Beta,0.3606815153659987,0.6340079433770054,False,0.5652186060338982,0.8271160831016154
FANG,Energy,High Beta,0.22481382869059363,0.5815613575658446,False,0.338054187127486,0.6971734086675306
FCX,Materials,High Beta,0.645876141689028,0.9604999906408298,False,0.2742737813721573,0.6432103355390733
GEN,Information Technology,Low Beta,0.6576404614720408,0.266081425374081,False,0.3244144772506568,0.4086943262712095
GILD,Health Care,Low Beta,0.4175591927957032,0.2848795228755208,False,0.14804942351864497,0.11739013376396178
GIS,Consumer Staples,Low Beta,0.8185513975664842,0.05259733898381419,False,0.9556666005264083,0.12578751301339441
HAL,Energy,High Beta,0.9851727327869599,0.9912067065329818,False,0.7320513272633986,0.5042127422223585
HRL,Consumer Staples,Low Beta,0.5139727120620334,0.40480110770771793,False,0.7839164908761687,0.2626985544455854
IVZ,Financials,High Beta,0.6105689237258315,0.019983086012031064,True,0.8444801729751881,0.1010408845019104
KDP,Consumer Staples,Low Beta,0.3148987896250237,0.8447532907740194,False,0.29605437135651486,0.6291621331156878
KEY,Financials,High Beta,0.3569462442063521,0.19183507724105187,False,0.5783048324296203,0.45811574854138515
KMB,Consumer Staples,Low Beta,0.525923258326598,0.37774090748799205,False,0.44588164203481284,0.5042625893160786
KR,Consumer Staples,Low Beta,0.6976759951728069,0.2666196430793223,False,0.898678570137312,0.5888874568673557
LNT,Utilities,Low Beta,0.5660274155330951,0.3058780065206257,False,0.3035276492241632,0.5985311930857099
LRCX,Information Technology,High Beta,0.7605776247897034,0.5699680322943843,False,0.5790901333244179,0.14205058318090272
MGM,Consumer Discretionary,High Beta,0.22847809113912554,0.2036379124833858,False,0.5174239221889299,0.4015041394762835
MKC,Consumer Staples,Low Beta,0.6942003301298196,0.2537398837751217,False,0.2768421736827975,0.11211966905778818
MPC,Energy,High Beta,0.49013508612079515,0.7239606903571986,False,0.10363737402119663,0.7284958703940092
NCLH,Consumer Discretionary,High Beta,0.4186328730568143,0.5390054179674703,False,0.5377544090171746,0.7853823331465779
NEM,Materials,Low Beta,0.8657706583874571,0.8265859252715237,False,0.1270916811721658,0.1137560183887153
OKE,Energy,High Beta,0.9251630117008761,0.6573296425460262,False,0.6753246808757346,0.8505244671865964
ON,Information Technology,High Beta,0.5860652904430799,0.412833452951734,False,0.5379244786745869,0.6673641772717401
OXY,Energy,High Beta,0.8960540680673905,0.7603233234326626,False,0.7305349350557713,0.9129455091582028
PG,Consumer Staples,Low Beta,0.6739450177750119,0.31194785707178485,False,0.22705846163880544,0.3809475865210489
PRU,Financials,High Beta,0.6039634991436286,0.0014129477350740072,True,0.7179814173337322,0.00882634691260684
PSA,Real Estate,Low Beta,0.8368005777682004,0.6512804407854167,False,0.8687416504132772,0.3230280074148533
RCL,Consumer Discretionary,High Beta,0.4812442030901243,0.6412829557626594,False,0.7049920042763946,0.9142664903894849
SJM,Consumer Staples,Low Beta,0.6023301806035773,0.031530715517277534,True,0.8301945203635728,0.08766201927159005
SW,Materials,Low Beta,0.9085744166446147,0.20516184549338115,False,0.8224895152317526,0.112052972018701
SYF,Financials,High Beta,0.9020274999919922,0.044443587919398814,True,0.8169966223584373,0.1969547126542894
TPR,Consumer Discretionary,High Beta,0.47450591359884475,0.9992655898400057,False,0.5245395604685281,0.9884053850900962
TRGP,Energy,High Beta,0.721837242592344,0.6677638117296885,False,0.5599619651183816,0.9202017582989866
TTD,Communication Services,High Beta,0.5452138618398926,0.35480724694860766,False,0.8570577685190324,0.5781419098570726
URI,Industrials,High Beta,0.6677906535698497,0.6700347624089362,False,0.16784394299511307,0.5856003580987501
VZ,Communication Services,Low Beta,0.40456677971084043,0.3007222603641196,False,0.20401962241150895,0.2651208685739201
WDC,Information Technology,High Beta,0.7212500891612111,0.36192790669103825,False,0.9033327840859456,0.6458436789407862
WEC,Utilities,Low Beta,0.7940323558398622,0.12101410799113724,False,0.5907807993017162,0.29121317395043994
WMT,Consumer Staples,Low Beta,0.20307525777585486,0.8023604670171354,False,0.30375111877664795,0.7582011742781971
WYNN,Consumer Discretionary,High Beta,0.03202521075809839,0.15052562982426035,False,0.09899590055445934,0.10381809799767527
XYZ,Financials,High Beta,0.924741346369157,0.03612601052682132,True,0.208272296535979,0.11999412837439125
SPY,Market Benchmark,Market,0.6141655156602019,0.5360928143120873,False,0.9307239407234684,0.11126352416426234
