Ticker,Sector,Beta,Beta_Group,FinBERT_Lag1_P,FinBERT_TE_p,FinBERT_TE_net,VADER_Lag1_P,VADER_TE_p,VADER_TE_net,Rescued_by_TE
AEP,Utilities,0.5855510507318068,Low Beta,0.6269257869864007,1.0,-0.005289239986634886,0.3563605418331624,1.0,-0.019682102652937905,False
AMP,Financials,1.770886085357816,High Beta,0.005833529540765,1.0,0.0,0.461867857591852,1.0,-0.009322524341349059,False
APA,Energy,1.9504802306078584,High Beta,0.5788744314735659,0.065,0.0038659776019225323,0.9881656807188458,0.415,-0.00600826776008323,False
BA,Industrials,1.655419275218408,High Beta,0.4082104315021297,0.085,-0.002772709873325674,0.4620443103245468,1.0,-0.0043805445396845055,False
C,Financials,1.570468635973682,High Beta,0.0519551604684206,1.0,0.0,0.951302613298803,0.055,-0.012346926252689627,False
CAG,Consumer Staples,0.4802031553953858,Low Beta,0.5643169686441598,1.0,-0.008228048673668553,0.8498635611812757,1.0,-0.008101516473569381,False
CCL,Consumer Discretionary,1.8373474513096075,High Beta,0.7298365969854901,0.02,-0.02610197947423032,0.3205823716300546,1.0,-0.03357779642227565,True
CHD,Consumer Staples,0.4887350572192573,Low Beta,0.1979994088291891,1.0,-0.01534960104776184,0.7933319221262786,1.0,-0.011592717417017617,False
CHRW,Industrials,0.5900930323754365,Low Beta,0.642613112666991,1.0,-0.006362946229162558,0.7665716222668726,1.0,-0.0075357055967257836,False
CL,Consumer Staples,0.6415020560721268,Low Beta,0.4962047888165244,1.0,-0.003649986559356666,0.3104359373402582,1.0,-0.0006303264522986574,False
CLX,Consumer Staples,0.3303493339744947,Low Beta,0.0645338404648054,1.0,-0.004412136031761715,0.7936499216037789,1.0,-0.00508107492199672,False
CMS,Utilities,0.6372607528228073,Low Beta,0.4040253950491331,1.0,-0.0075895655671949225,0.9441983900955332,1.0,-0.025073864450823713,False
COF,Financials,1.5607250917854707,High Beta,0.1137386443893113,1.0,-0.0007395449300240386,0.6163685445866711,1.0,-0.00907617076672751,False
COST,Consumer Staples,0.6636627951917302,Low Beta,0.963266017136809,1.0,-0.0007996009023367723,0.8729987100099003,1.0,-0.006054190778228996,False
CPB,Consumer Staples,0.3452942820994704,Low Beta,0.8854839505216111,1.0,-0.019401134936835263,0.7172145070337496,1.0,-0.0101798579475878,False
CVNA,Consumer Discretionary,1.9199095993306488,High Beta,0.921782688810686,0.985,-0.006532257423829568,0.4757586274754862,0.285,-0.0016641818449507628,False
DG,Consumer Staples,0.5782907860957667,Low Beta,0.91939252394171,1.0,-0.0032166425130113474,0.6852211722052144,1.0,-0.009941097670797872,False
DPZ,Consumer Discretionary,0.5289651261194434,Low Beta,0.6039952915534398,1.0,-0.02504918310783122,0.9599023125304972,1.0,-0.012618638197257948,False
DVN,Energy,1.69817010618707,High Beta,0.968207663013816,0.09,-0.004707741584938585,0.5518608488606533,0.745,-0.003228343348189444,False
ED,Utilities,0.5581115169616554,Low Beta,0.0717272974329762,1.0,-0.003630505232256054,0.5073672849003729,1.0,-0.019649888341952026,False
EXR,Real Estate,0.6184219832313661,Low Beta,0.6340079433770054,1.0,-0.00871182232392087,0.3606815153659987,1.0,-0.015025088982496326,False
FANG,Energy,1.5597430966611443,High Beta,0.5815613575658446,0.02,0.003169135835949577,0.2248138286905936,1.0,-0.009666575308036274,True
FCX,Materials,1.634547283993815,High Beta,0.9604999906408298,0.4,-0.008053257273851644,0.645876141689028,0.685,-0.004076363557033336,False
GEN,Information Technology,0.6456855977506586,Low Beta,0.266081425374081,1.0,-0.014112177891537403,0.6576404614720408,1.0,-0.009205394534010702,False
GILD,Health Care,0.6266118025520079,Low Beta,0.2848795228755208,1.0,-0.0024585627061612936,0.4175591927957032,1.0,-0.002627393740320061,False
GIS,Consumer Staples,0.4105363536682694,Low Beta,0.0525973389838141,1.0,-0.006063353362368407,0.8185513975664842,1.0,-0.0019418410557354715,False
HAL,Energy,1.779042915001656,High Beta,0.9912067065329818,0.06,-0.012675567513998454,0.98517273278696,1.0,-0.024776088310398237,False
HRL,Consumer Staples,0.450234151534058,Low Beta,0.4048011077077179,1.0,-0.00739055620148954,0.5139727120620334,1.0,-0.0071526698411381595,False
IVZ,Financials,1.5699667125828225,High Beta,0.019983086012031,1.0,-0.01156964507619862,0.6105689237258315,1.0,-0.007656212138629215,False
KDP,Consumer Staples,0.5522291159748857,Low Beta,0.8447532907740194,1.0,-0.014261512244930552,0.3148987896250237,1.0,-0.0028045821212634436,False
KEY,Financials,1.5750747595418342,High Beta,0.1918350772410518,1.0,0.0,0.3569462442063521,1.0,-0.017202320902665047,False
KMB,Consumer Staples,0.5618366175429953,Low Beta,0.377740907487992,1.0,-0.0036206922032198108,0.525923258326598,1.0,-0.002635942329263896,False
KR,Consumer Staples,0.3428434136555888,Low Beta,0.2666196430793223,1.0,-0.021045513586415376,0.6976759951728069,1.0,-0.006690819384653102,False
LNT,Utilities,0.669166453672066,Low Beta,0.3058780065206257,1.0,-0.0032730311735909012,0.5660274155330951,1.0,-0.021394304693443056,False
LRCX,Information Technology,1.5929226870634567,High Beta,0.5699680322943843,0.055,-0.005022095804785742,0.7605776247897034,0.315,-0.007406296630194653,False
MGM,Consumer Discretionary,1.790475425493799,High Beta,0.2036379124833858,0.055,-0.00847555382040377,0.2284780911391255,1.0,-0.02548316660825778,False
MKC,Consumer Staples,0.6579102598150524,Low Beta,0.2537398837751217,1.0,-0.011790251506383465,0.6942003301298196,1.0,-0.010883500856846418,False
MPC,Energy,1.6182945635653836,High Beta,0.7239606903571986,0.05,-0.0020572496845976396,0.4901350861207951,1.0,-0.01538130229953416,False
NCLH,Consumer Discretionary,1.9367770039299843,High Beta,0.5390054179674703,0.0,-0.011181356009537513,0.4186328730568143,0.005,-0.03869590927295352,True
NEM,Materials,0.2901094275651221,Low Beta,0.8265859252715237,1.0,-0.004663320232510371,0.8657706583874571,1.0,-0.0012387099083766007,False
OKE,Energy,1.5831842136241936,High Beta,0.6573296425460262,1.0,-0.01132044641978558,0.925163011700876,1.0,-0.011939959068870243,False
ON,Information Technology,1.6822247449069645,High Beta,0.412833452951734,0.515,-0.003982165847821628,0.5860652904430799,0.21,-0.0005297065819946933,False
OXY,Energy,1.7262379082508437,High Beta,0.7603233234326626,1.0,-0.008918014786266859,0.8960540680673905,1.0,-0.012828511047130675,False
PG,Consumer Staples,0.667031482232581,Low Beta,0.3119478570717848,1.0,-0.010460088639430154,0.6739450177750119,1.0,-0.01177644350214635,False
PRU,Financials,1.595709425793827,High Beta,0.001412947735074,1.0,-0.0011482108220708387,0.6039634991436286,1.0,-0.011125463787354795,False
PSA,Real Estate,0.597557369079425,Low Beta,0.6512804407854167,1.0,-0.012445088588278086,0.8368005777682004,1.0,-0.01056971922191785,False
RCL,Consumer Discretionary,1.809571966821288,High Beta,0.6412829557626594,0.005,-0.020685026369271053,0.4812442030901243,1.0,-0.022985114103190263,True
SJM,Consumer Staples,0.3851387093791879,Low Beta,0.0315307155172775,1.0,-0.005861522732586222,0.6023301806035773,1.0,-0.0009389662227818896,False
SW,Materials,0.4651485500337147,Low Beta,0.2051618454933811,1.0,0.0,0.9085744166446148,1.0,0.0,False
SYF,Financials,1.5916286187093565,High Beta,0.0444435879193988,1.0,-0.007859899603160247,0.9020274999919922,1.0,-0.00541246683272667,False
TPR,Consumer Discretionary,1.6750840332864412,High Beta,0.9992655898400056,1.0,-0.024112278557585576,0.4745059135988447,0.06,-0.0019442672001934724,False
TRGP,Energy,1.8301363839659808,High Beta,0.6677638117296885,0.0,0.014988400750139297,0.721837242592344,0.045,0.0007212322129062088,True
