Ticker,Sector,Beta,Beta_Group,n_obs,FinBERT_TE_forward,FinBERT_TE_backward,FinBERT_TE_net,FinBERT_TE_p,FinBERT_significant,VADER_TE_forward,VADER_TE_backward,VADER_TE_net,VADER_TE_p,VADER_significant
AEP,Utilities,0.5855510507318068,Low Beta,639,0.0,0.005289239986634886,-0.005289239986634886,1.0,False,0.0,0.019682102652937905,-0.019682102652937905,1.0,False
AMP,Financials,1.770886085357816,High Beta,639,0.0,0.0,0.0,1.0,False,0.0,0.009322524341349059,-0.009322524341349059,1.0,False
APA,Energy,1.9504802306078584,High Beta,639,0.013552309378433103,0.00968633177651057,0.0038659776019225323,0.065,False,0.00646732368852887,0.0124755914486121,-0.00600826776008323,0.415,False
BA,Industrials,1.655419275218408,High Beta,639,0.0037066449221818676,0.0064793547955075415,-0.002772709873325674,0.085,False,0.0,0.0043805445396845055,-0.0043805445396845055,1.0,False
C,Financials,1.570468635973682,High Beta,639,0.0,0.0,0.0,1.0,False,4.771207119769194e-05,0.01239463832388732,-0.012346926252689627,0.055,False
CAG,Consumer Staples,0.4802031553953858,Low Beta,639,0.0,0.008228048673668553,-0.008228048673668553,1.0,False,0.0,0.008101516473569381,-0.008101516473569381,1.0,False
CCL,Consumer Discretionary,1.8373474513096075,High Beta,639,4.384321410366709e-06,0.026106363795640686,-0.02610197947423032,0.02,True,0.0,0.03357779642227565,-0.03357779642227565,1.0,False
CHD,Consumer Staples,0.4887350572192573,Low Beta,639,0.0,0.01534960104776184,-0.01534960104776184,1.0,False,0.0,0.011592717417017617,-0.011592717417017617,1.0,False
CHRW,Industrials,0.5900930323754365,Low Beta,639,0.0,0.006362946229162558,-0.006362946229162558,1.0,False,0.0,0.0075357055967257836,-0.0075357055967257836,1.0,False
CL,Consumer Staples,0.6415020560721268,Low Beta,639,0.0,0.003649986559356666,-0.003649986559356666,1.0,False,0.0,0.0006303264522986574,-0.0006303264522986574,1.0,False
CLX,Consumer Staples,0.3303493339744947,Low Beta,639,0.0,0.004412136031761715,-0.004412136031761715,1.0,False,0.0,0.00508107492199672,-0.00508107492199672,1.0,False
CMS,Utilities,0.6372607528228073,Low Beta,639,0.0,0.0075895655671949225,-0.0075895655671949225,1.0,False,0.0,0.025073864450823713,-0.025073864450823713,1.0,False
COF,Financials,1.5607250917854707,High Beta,639,0.0,0.0007395449300240386,-0.0007395449300240386,1.0,False,0.0,0.00907617076672751,-0.00907617076672751,1.0,False
COST,Consumer Staples,0.6636627951917302,Low Beta,639,0.0,0.0007996009023367723,-0.0007996009023367723,1.0,False,0.0,0.006054190778228996,-0.006054190778228996,1.0,False
CPB,Consumer Staples,0.3452942820994704,Low Beta,639,0.0,0.019401134936835263,-0.019401134936835263,1.0,False,0.0,0.0101798579475878,-0.0101798579475878,1.0,False
CVNA,Consumer Discretionary,1.9199095993306488,High Beta,639,0.00347818649689291,0.010010443920722478,-0.006532257423829568,0.985,False,0.014204143411254533,0.015868325256205296,-0.0016641818449507628,0.285,False
DG,Consumer Staples,0.5782907860957667,Low Beta,639,0.0,0.0032166425130113474,-0.0032166425130113474,1.0,False,0.0,0.009941097670797872,-0.009941097670797872,1.0,False
DPZ,Consumer Discretionary,0.5289651261194434,Low Beta,639,0.0,0.02504918310783122,-0.02504918310783122,1.0,False,0.0,0.012618638197257948,-0.012618638197257948,1.0,False
DVN,Energy,1.69817010618707,High Beta,639,0.01199177526072659,0.016699516845665174,-0.004707741584938585,0.09,False,0.0012233563222154853,0.004451699670404929,-0.003228343348189444,0.745,False
ED,Utilities,0.5581115169616554,Low Beta,639,0.0,0.003630505232256054,-0.003630505232256054,1.0,False,0.0,0.019649888341952026,-0.019649888341952026,1.0,False
EXR,Real Estate,0.6184219832313661,Low Beta,639,0.0,0.00871182232392087,-0.00871182232392087,1.0,False,0.0,0.015025088982496326,-0.015025088982496326,1.0,False
FANG,Energy,1.5597430966611443,High Beta,639,0.013099407018799303,0.009930271182849726,0.003169135835949577,0.02,True,0.0,0.009666575308036274,-0.009666575308036274,1.0,False
FCX,Materials,1.634547283993815,High Beta,639,0.004968950236889924,0.013022207510741568,-0.008053257273851644,0.4,False,0.0018246118713178827,0.005900975428351218,-0.004076363557033336,0.685,False
GEN,Information Technology,0.6456855977506586,Low Beta,639,0.0,0.014112177891537403,-0.014112177891537403,1.0,False,0.0,0.009205394534010702,-0.009205394534010702,1.0,False
GILD,Health Care,0.6266118025520079,Low Beta,639,0.0,0.0024585627061612936,-0.0024585627061612936,1.0,False,0.0,0.002627393740320061,-0.002627393740320061,1.0,False
GIS,Consumer Staples,0.4105363536682694,Low Beta,639,0.0,0.006063353362368407,-0.006063353362368407,1.0,False,0.0,0.0019418410557354715,-0.0019418410557354715,1.0,False
HAL,Energy,1.779042915001656,High Beta,639,0.008595613134368518,0.021271180648366972,-0.012675567513998454,0.06,False,0.0,0.024776088310398237,-0.024776088310398237,1.0,False
HRL,Consumer Staples,0.450234151534058,Low Beta,639,0.0,0.00739055620148954,-0.00739055620148954,1.0,False,0.0,0.0071526698411381595,-0.0071526698411381595,1.0,False
IVZ,Financials,1.5699667125828225,High Beta,639,0.0,0.01156964507619862,-0.01156964507619862,1.0,False,0.0,0.007656212138629215,-0.007656212138629215,1.0,False
KDP,Consumer Staples,0.5522291159748857,Low Beta,639,0.0,0.014261512244930552,-0.014261512244930552,1.0,False,0.0,0.0028045821212634436,-0.0028045821212634436,1.0,False
KEY,Financials,1.5750747595418342,High Beta,639,0.0,0.0,0.0,1.0,False,0.0,0.017202320902665047,-0.017202320902665047,1.0,False
KMB,Consumer Staples,0.5618366175429953,Low Beta,639,0.0,0.0036206922032198108,-0.0036206922032198108,1.0,False,0.0,0.002635942329263896,-0.002635942329263896,1.0,False
KR,Consumer Staples,0.3428434136555888,Low Beta,639,0.0,0.021045513586415376,-0.021045513586415376,1.0,False,0.0,0.006690819384653102,-0.006690819384653102,1.0,False
LNT,Utilities,0.669166453672066,Low Beta,639,0.0,0.0032730311735909012,-0.0032730311735909012,1.0,False,0.0,0.021394304693443056,-0.021394304693443056,1.0,False
LRCX,Information Technology,1.5929226870634567,High Beta,639,0.0076175645867473385,0.01263966039153308,-0.005022095804785742,0.055,False,0.0026730162304162697,0.010079312860610923,-0.007406296630194653,0.315,False
MGM,Consumer Discretionary,1.790475425493799,High Beta,639,0.0072685048343206216,0.01574405865472439,-0.00847555382040377,0.055,False,0.0,0.02548316660825778,-0.02548316660825778,1.0,False
MKC,Consumer Staples,0.6579102598150524,Low Beta,639,0.0,0.011790251506383465,-0.011790251506383465,1.0,False,0.0,0.010883500856846418,-0.010883500856846418,1.0,False
MPC,Energy,1.6182945635653836,High Beta,639,0.006686396130107575,0.008743645814705214,-0.0020572496845976396,0.05,False,0.0,0.01538130229953416,-0.01538130229953416,1.0,False
NCLH,Consumer Discretionary,1.9367770039299843,High Beta,639,0.01895547208386872,0.03013682809340623,-0.011181356009537513,0.0,True,0.005149974726053275,0.043845883999006796,-0.03869590927295352,0.005,True
