Ticker,Security,GICS Sector,Beta,R_Squared,Volatility
NEM,Newmont,Materials,0.2901094275651221,0.04285367563061637,0.33556467973290793
CLX,Clorox,Consumer Staples,0.3303493339744947,0.0948159101934366,0.2568864904966681
KR,Kroger,Consumer Staples,0.3428434136555888,0.06382154148670027,0.32495304069921616
CPB,Campbell's Company (The),Consumer Staples,0.3452942820994704,0.07370268170500349,0.3045483009106665
SJM,J.M. Smucker Company (The),Consumer Staples,0.3851387093791879,0.1119498041121525,0.27562203884960157
GIS,General Mills,Consumer Staples,0.41053635366826946,0.13617744383346364,0.2663835921218223
HRL,Hormel Foods,Consumer Staples,0.450234151534058,0.1978053343316749,0.24239735356043582
SW,Smurfit Westrock,Materials,0.4651485500337147,0.059760308749756685,0.4556104687382528
CAG,Conagra Brands,Consumer Staples,0.4802031553953858,0.10434895968373137,0.3559503193213962
CHD,Church & Dwight,Consumer Staples,0.4887350572192573,0.19537829070230384,0.26475476102956425
VZ,Verizon,Communication Services,0.5189669305555996,0.32809240840257625,0.21694519381277486
DPZ,Domino's,Consumer Discretionary,0.5289651261194434,0.13167539141278528,0.3490464062039996
WMT,Walmart,Consumer Staples,0.5449454621080049,0.27560273102328336,0.24855340745155255
KDP,Keurig Dr Pepper,Consumer Staples,0.5522291159748857,0.16992040816298748,0.3207782906396599
ED,Consolidated Edison,Utilities,0.5581115169616554,0.23054238553171358,0.2783261629843272
KMB,Kimberly-Clark,Consumer Staples,0.5618366175429953,0.2613404112482506,0.2631571625127982
DG,Dollar General,Consumer Staples,0.5782907860957667,0.25638980732343786,0.2734666270199085
AEP,American Electric Power,Utilities,0.5855510507318068,0.2836423494785063,0.2632616911713153
CHRW,C.H. Robinson,Industrials,0.5900930323754365,0.258083185316651,0.27813079092299375
PSA,Public Storage,Real Estate,0.597557369079425,0.30003764471231487,0.26121623885956125
EXR,Extra Space Storage,Real Estate,0.6184219832313661,0.2671890907247787,0.28647319876825067
WEC,WEC Energy Group,Utilities,0.6188645710611731,0.2517452322759396,0.2953407904406031
GILD,Gilead Sciences,Health Care,0.6266118025520079,0.23845305218513846,0.30725967522241693
CMS,CMS Energy,Utilities,0.6372607528228073,0.3221405288274861,0.2688455967794219
CL,Colgate-Palmolive,Consumer Staples,0.6415020560721268,0.3802342361393102,0.24910410417988768
GEN,Gen Digital,Information Technology,0.6456855977506586,0.12617477000907362,0.4352545079194193
MKC,McCormick & Company,Consumer Staples,0.6579102598150524,0.29932708919191386,0.28794005756146007
COST,Costco,Consumer Staples,0.6636627951917302,0.4468312033571282,0.23773009527970582
PG,Procter & Gamble,Consumer Staples,0.667031482232581,0.4072520275374928,0.2502782696331162
LNT,Alliant Energy,Utilities,0.669166453672066,0.3640408174432318,0.26556299613956874
